ID,Title,Epic ID,Phase,Priority,Confidence,Surface,Outcome Summary,Has Metric,Open Question Count,Build Target Present,Internal Dep Count,External Dep Count,Requirement Count,Artifact Count
INT-021,Máquina de estados da janela de vigência + trava de seleção até o fechamento,E02,2,,Confirmed,automation,"O ciclo da demanda transita por estados regidos pela janela de vigência; a beneficiária vê as Quotes conforme chegam, mas a seleção fica travada até a janela fechar (não é seleção cega).",no,2,yes,2,0,0,1
INT-022,Tela Comparar Propostas (LWC) lado a lado,E02,2,,Assumed,lwc,"A beneficiária compara as Quotes recebidas lado a lado numa tela custom, com os atributos decisórios normalizados para comparação justa.",no,3,yes,2,0,0,1
INT-023,Seleção do vencedor → firmamento do contrato,E02,2,,Assumed,screen-flow,"Após o fechamento da janela, a beneficiária seleciona uma Quote e a plataforma transita a demanda para contrato firmado, com trilha de justificativa.",no,1,yes,2,0,0,1
INT-024,Upload e versionamento do PDF de contrato (sem CLM),E02,2,,Assumed,data-model,"A facilitadora anexa o PDF imutável do contrato com metadados e versões (aditivo = nova versão), sem gestão de ciclo de vida de contrato.",no,1,yes,2,0,0,2
INT-025,Termo de aceite: classificação por faixa salarial + matriz/filial → Novo PAT,E02,2,,Assumed,screen-flow,"Após o contrato firmado, a beneficiária classifica o nº de trabalhadores acima/abaixo de 5 salários mínimos por CNPJ e matriz/filial, e o aceite é integrado ao Novo PAT via INIS PJ.",no,1,yes,2,0,0,1
INT-026,Ramificação de regras de cálculo PAT vs. não-PAT,E02,2,,Assumed,automation,"Beneficiárias PAT e não-PAT contratam pela mesma plataforma, mas com regras de cálculo distintas — PAT sob o teto de 3,6%, não-PAT sem benefício fiscal.",no,1,yes,2,0,0,1
INT-027,Carga de contratos legados,E02,2,,Assumed,data-model,"Contratos legados existentes são carregados na plataforma, mapeados à estrutura nativa Opportunity/Quote/Account com seus PDFs e metadados.",no,1,yes,2,0,0,1
INT-028,Autocadastro de estabelecimento via gov.br (PJ),E04,2,,Assumed,experience-cloud,"Um estabelecimento se cadastra uma única vez no portal, autenticado como PJ via gov.br, e a plataforma cria um registro pendente na base nacional unificada de estabelecimentos — substituindo o credenciamento repetido facilitadora a facilitadora.",no,2,yes,2,1,0,2
INT-029,Envio de documentos do estabelecimento com checklist guiado,E04,2,,Assumed,experience-cloud,"O estabelecimento sobe os documentos exigidos para o credenciamento (licença sanitária, comprovações de regularidade) anexados ao seu registro, com orientação de quais documentos são necessários e por que o cadastro está pendente.",no,1,yes,2,0,0,1
INT-030,Validação documental automatizada com transbordo humano,E04,2,,Assumed,automation,"A plataforma aplica regras determinísticas de validação sobre o cadastro e os documentos (CNPJ ativo, CNAE compatível com alimentação, integridade do documento) e resolve automaticamente os casos claros, transbordando para análise humana somente as exceções.",no,1,yes,2,0,0,1
INT-031,Análise documento a documento e parecer do Analista MTE,E04,2,,Assumed,console,"Um Analista MTE analisa cada documento do estabelecimento (Válido/Inválido + motivo), emite um parecer sobre o credenciamento (Deferido / Exigência complementar / Indeferido) e toda a operação fica registrada em trilha de auditoria.",no,1,yes,2,0,0,1
INT-032,Ação legal de aprovar e descredenciar (facilitadora/MTE) com propagação de status,E04,2,,Assumed,console,"A facilitadora mantém o papel legal de aprovar e descredenciar o estabelecimento na sua relação, e o MTE pode descredenciar do programa; a mudança de status vira o estado consultável pela base de estabelecimentos que o adquirente lê antes de transacionar.",no,2,yes,2,1,0,2
INT-033,Captura da licença sanitária com extração de campos por IA,E04,2,,Assumed,automation,"A plataforma captura a data de validade da licença sanitária — o único campo comum aos 5000+ padrões municipais sem base unificada — usando extração por IA sobre o documento enviado, com o analista confirmando o valor quando a extração não for confiável.",no,1,yes,2,0,0,1
INT-034,"Rastreio de vencimento, renovação e alertas de expiração",E04,2,,Assumed,automation,"A plataforma rastreia a data de validade da licença de cada estabelecimento, dispara alertas com antecedência antes do vencimento e conduz o fluxo de renovação, de modo que uma licença não expire silenciosamente e o estabelecimento continue apto.",no,1,yes,2,0,0,1
INT-035,"Recepção assíncrona de folha (upload CSV via portal/API, desacoplado)",E03,3,,Assumed,integration,A beneficiária envia o CSV da folha da competência pelo portal ou por API e recebe confirmação de recebimento em segundos; o arquivo entra numa fila de processamento sem travar a sessão nem consumir um slot de processamento longo.,no,2,yes,3,0,0,2
INT-036,Validação de layout e integridade da folha (não quebrada),E03,3,,Assumed,automation,"Toda folha enfileirada passa por uma checagem automática de layout e integridade estrutural; folhas íntegras seguem para disponibilização à facilitadora e as inconsistentes são sinalizadas à beneficiária com o motivo, sem persistir as linhas.",no,1,yes,3,0,0,2
INT-037,Crítica da folha por IA (assíncrona; melhor alternativa Salesforce a definir),E03,3,,Unknown,automation,Folhas que passam na validação estrutural recebem uma crítica automática mais rica (consistência dos dados da competência) executada de forma assíncrona; o resultado alimenta a liberação para download sem que a crítica rode no clique do upload.,no,1,yes,3,0,0,2
INT-038,"Modelo de dados financeiro (folha cabeçalho/competência, contrato, regras de split)",E03,3,,Confirmed,data-model,"A plataforma tem os objetos custom que sustentam o ciclo financeiro — folha por competência (só cabeçalho), contrato/vigência e regras de split parametrizáveis — sobre a base Sales Cloud, sem Revenue Cloud e sem persistir linhas de folha.",no,1,yes,3,0,0,3
INT-039,Disponibilização da folha à facilitadora e retorno de 'processado + valor',E03,3,,Assumed,integration,"A facilitadora baixa a folha íntegra por contrato e vigência (mês-ano) via API e devolve à plataforma o status 'processado' com o valor a pagar, que passa a alimentar a emissão de boleto.",no,1,yes,3,1,0,2
INT-040,Solicitação e recebimento de boleto registrado junto ao gateway,E03,3,,Unknown,integration,"Com o valor da folha processado, a plataforma envia a instrução de cobrança ao gateway (que intermedia a conta custódia) e recebe de volta o boleto registrado com metadados e link, sem movimentar dinheiro.",no,1,yes,3,1,0,2
INT-041,Disponibilização do boleto à beneficiária no portal,E03,3,,Assumed,experience-cloud,"Assim que o boleto registrado retorna do gateway, a beneficiária o encontra disponível no portal (link/metadados) vinculado à folha da competência.",no,0,yes,3,0,0,1
INT-042,Conciliação agendada de movimentações bancárias (casamento incremental) e identificação de pagamento,E03,3,,Assumed,automation,"A plataforma recebe do gateway as movimentações bancárias em lotes incrementais por agendamento e faz o casamento com os boletos emitidos, identificando o pagamento e avançando o status da folha automaticamente.",no,1,yes,3,1,0,2
INT-043,"Motor de regras de split (teto MDR 3,6%, repasse ≤15 dias, ramificação PAT vs não-PAT)",E03,3,,Assumed,automation,"Identificado o pagamento, a plataforma consulta as regras de split e calcula o rateio entre facilitadora, governo/MTE e demais partes, aplicando o teto de MDR de 3,6%, a distinção entre beneficiária PAT e não-PAT e o prazo de repasse de até 15 dias.",no,2,yes,3,0,0,3
INT-044,Registro do racional de cálculo (trilha auditável) e entrega das ordens de transferência ao gateway,E03,3,,Assumed,automation,"A plataforma registra todo o racional do repasse — datas, split aplicado, ordens de transferência — como trilha auditável e entrega as ordens de transferência ao gateway via MuleSoft, que executa a movimentação.",no,1,yes,3,1,0,2
INT-045,Status consolidado 'crédito concedido' e gatilho de notificação (empresa + CTPS Digital),E03,3,,Assumed,automation,"Concluído o repasse, a folha exibe um status consolidado 'crédito concedido' em uma única linha (não por trabalhador) e dispara a notificação à empresa e, via CTPS Digital, a 'expectativa de crédito' ao trabalhador — monitoramento apenas na Fase 1.",no,1,yes,3,1,0,2
INT-046,Carga inicial idempotente de referências não-sensíveis (Bulk API 2.0 + upsert por external ID),E07,4,,Assumed,integration,"O conjunto mínimo de beneficiárias, facilitadoras e estabelecimentos necessário ao go-live de 15/nov entra no Salesforce como referências tokenizadas não-sensíveis, sem CPF nem dado nominal persistido, por uma carga re-executável que não duplica registros ao rodar de novo.",no,2,yes,1,1,0,2
INT-047,Deduplicação na carga por chave não-sensível,E07,4,,Assumed,data-model,Registros duplicados de estabelecimentos e beneficiárias não entram como referências redundantes: a carga reconhece o mesmo CNPJ (ou CNPJ+UF) vindo de fontes diferentes e colapsa em uma única referência tokenizada.,no,2,yes,1,0,0,1
INT-048,Validação de qualidade e reconciliação pós-carga,E07,4,,Assumed,automation,"Ao fim da carga há prova de que ela bateu com a fonte-de-verdade e de que nenhum dado sensível foi persistido, com critério de aceite e reprocessamento idempotente em caso de falha parcial — condição para defender a carga em auditoria.",no,2,yes,1,0,0,1
INT-049,Painel de adoção do portal da beneficiária,E09,4,,Unknown,lightning-record-page,"Um patrocinador do programa (MTE/Dataprev) enxerga, num painel, o quanto as beneficiárias estão de fato usando o portal e progredindo no funil de cotação — logins, necessidades publicadas, propostas recebidas, seleções e contratos — para dirigir o esforço de adoção onde ele trava.",no,3,yes,0,0,0,0
