ID,Epic ID,Epic Name,Persona,User Story,Acceptance Criteria,Priority,Source,Assumptions,Uncertainty Level
US-0111,E01,Portal & Identidade gov.br,Admin plataforma,"Como administrador da plataforma, quero definir o modelo de licenciamento de portal por perfil de acesso, para dimensionar corretamente licenças nomeadas (beneficiária, acesso recorrente) e por login (estabelecimento, acesso esporádico).","Dado que a beneficiária acessa o portal recorrentemente (pelo menos mensalmente para envio de folha), quando o licenciamento é definido, então ela é atendida por licença nomeada; Dado que o estabelecimento acessa esporadicamente (ex.: credenciamento e renovação de licenças a cada 6-12 meses), quando o licenciamento é definido, então ele é atendido por modelo por login/acesso; Dado o alto volume de estabelecimentos (~800 mil), quando o dimensionamento é feito, então o modelo escolhido para estabelecimento evita custo de licença nomeada por acesso pontual.",Medium,.discovery-context.md:392 (acesso nomeado para beneficiária recorrente vs licença por login para estabelecimentos esporádicos); .discovery-context.md:386 (beneficiária entra ao menos 1x/mês),"Ponto em aberto (G0103/G0108): se a beneficiária precisar operar Opportunity/Quote nativamente no portal, Customer Community Plus não os expõe e Partner Community passa a ser a candidata — a confirmar. A decisão de licença muda premissa de custo/dimensionamento e depende de requalificação.",TBD
US-0112,E01,Portal & Identidade gov.br,Analista MTE,"Como analista do MTE, quero acesso administrativo e de governança à plataforma com o nível de privilégio adequado, para acompanhar a operação e administrar o que me compete sem acessar dados indevidos.","Dado que sou um usuário do MTE (equipe de até ~10 pessoas), quando recebo acesso, então recebo um perfil interno com o nível de privilégio definido para governança/administração, não uma licença de portal externo; Dado que acesso a plataforma, quando navego, então vejo apenas as funções de administração/monitoramento autorizadas ao MTE; Dado que uma ação administrativa é realizada, então ela é registrada em trilha de auditoria com identificação do usuário.",Medium,.discovery-context.md:392 (MTE ~3-10 pessoas; licenciamento de plataforma para administração/governança e relatórios),O nível/camada de privilégios do MTE ainda não foi definido na discovery ('qual é o nível de privilégios que vocês vão dar pra ele'). A visão de monitoramento em si é E04; aqui é apenas o acesso/identidade administrativa.,Assumed
US-0113,E01,Portal & Identidade gov.br,Beneficiária,"Como beneficiária, quero encerrar minha sessão com segurança e ter a sessão expirada por inatividade, para proteger o acesso em nome da empresa que represento.","Dado que estou autenticada no portal, quando clico em 'Sair' no menu, então minha sessão é encerrada e sou redirecionada à tela de login; Dado que fico inativa além do tempo limite definido, quando tento continuar, então a sessão expira e sou solicitada a autenticar novamente pelo gov.br; Dado que encerro a sessão, quando tento voltar por navegação/URL, então não consigo acessar áreas autenticadas sem novo login.",Low,.discovery-context.md:100 ('Sair' no menu lateral),Tempo de expiração de sessão a definir; alinhamento com política de logout federado do gov.br a confirmar.,Assumed
US-0201,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero autenticar via GOV.BR e selecionar a empresa (CNPJ) que represento por procuração digital, para operar o marketplace apenas nas empresas às quais tenho vínculo válido.","Dado um CPF autenticado via GOV.BR, Quando acesso o portal, Então vejo apenas as empresas (Razão Social + CNPJ + tipo Matriz/Filial) para as quais possuo autorização de procuração; Dado que seleciono uma empresa Ativa, Quando clico em Continuar, Então o contexto da sessão passa a operar sob aquele CNPJ; Dado que não possuo vínculo válido para um CNPJ, Quando busco por ele, Então não é retornado/selecionável; Dado que troco de empresa pelo menu superior, Quando confirmo, Então o contexto de dados é recarregado para o novo CNPJ",High,[KB: salesforce-revenue-cloud-marketplace-arch.md:36-40] Experience Cloud + identidade externa GOV.BR; prototipo-figma telas 1-3 [Confirmed: prototipo do cliente],Integração GOV.BR/Geride e resolução de procuração digital são entregues por E05 (MuleSoft).,Confirmed
US-0202,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero cadastrar uma demanda de benefício como Opportunity nativa informando nº de funcionários, valor por trabalhador, vigência em meses e periodicidade, para iniciar um leilão reverso entre as facilitadoras.","Dado que estou na tela Nova Cotação, Quando informo quantidade de funcionários, valor do benefício por trabalhador, vigência contratual (meses) e periodicidade (Mensal/Quinzenal), Então o sistema cria uma Opportunity nativa vinculada ao CNPJ da beneficiária; Dado que um campo obrigatório está vazio, Quando tento salvar, Então a submissão é bloqueada com mensagem de validação; Dado que a demanda é criada com sucesso, Quando confirmo, Então recebo um número de cotação e a demanda entra no estado inicial da janela de propostas",High,[KB: salesforce-revenue-cloud-marketplace-arch.md:26-30] modelo buyer-initiated é custom; ADR 0004 objetos nativos; prototipo-figma tela 5 [Confirmed],Opportunity nativa é o objeto-âncora da demanda por ADR 0004; campos custom estendem o objeto padrão.,Confirmed
US-0203,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero configurar a personalização do vale entre Alimentação e Refeição por percentual, para que as propostas cheguem já normalizadas à minha necessidade.","Dado que estou criando a demanda, Quando defino percentuais de Alimentação e Refeição (ex.: 70%/30%), Então a soma deve totalizar 100% ou a submissão é bloqueada; Dado que salvo a personalização, Quando a demanda é publicada, Então os percentuais ficam disponíveis para consulta pelas facilitadoras via API; Dado que não altero os percentuais, Quando salvo, Então um padrão configurável é aplicado",Medium,prototipo-figma tela 5 (Personalização Alimentação/Refeição) [Confirmed],"Split Alimentação/Refeição é atributo da demanda, não gera objetos financeiros nesta épica.",Confirmed
US-0204,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero informar a distribuição de trabalhadores por UF na demanda, para que as facilitadoras precifiquem considerando a dispersão regional.","Dado que estou na tela de demanda, Quando adiciono linhas de UF + quantidade, Então cada UF é registrada com sua quantidade em uma tabela vinculada à cotação; Dado que a soma das quantidades por UF diverge do nº total de funcionários, Quando tento salvar, Então recebo um aviso de inconsistência; Dado que a demanda é publicada, Quando a facilitadora consulta via API, Então a distribuição por UF é retornada",Medium,prototipo-figma tela 5 (Distribuição por UF: SP 200 / SC 150) [Confirmed],Distribuição por UF modelada como objeto-filho da cotação.,Confirmed
US-0205,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero selecionar os recursos obrigatórios que exijo (app, NFC, geolocalização, histórico, segurança etc.), para padronizar a comparação entre propostas.","Dado que estou na tela de demanda, Quando marco recursos obrigatórios de um catálogo padronizado, Então eles são anexados à cotação como requisitos; Dado que uma proposta não atende um recurso obrigatório, Quando ela é comparada, Então o não-atendimento é sinalizado na tela de comparação; Dado que o catálogo de recursos é mantido pelo Admin, Quando um recurso é desativado, Então ele não aparece em novas demandas",Medium,prototipo-figma tela 5 (Recursos Obrigatórios) [Confirmed],Catálogo de recursos obrigatórios é configurável (picklist/objeto custom).,Confirmed
US-0206,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero que minha demanda tenha um prazo (SLA) de recebimento de propostas com contagem regressiva, para saber quando a janela do leilão fecha.","Dado que publico uma demanda, Quando ela entra no estado Aguardando Propostas, Então um prazo de fim de janela é definido e exibido com contagem regressiva (ex.: 5 dias); Dado que o prazo se aproxima, Quando visualizo a lista de cotações, Então o countdown reflete o tempo restante (dias); Dado que o prazo expira, Quando o sistema avalia a janela, Então o estado transiciona automaticamente para permitir seleção",High,"prototipo-figma telas 4/6 (prazo restante, countdown) + discovery (dinâmica de leilão com SLA) [Confirmed]",SLA padrão da janela é configurável pelo Admin; transição no vencimento é automatizada (Flow/scheduled).,Confirmed
US-0207,E02,Marketplace de Cotação e Contratação,Facilitadora [via API],"Como Facilitadora operando exclusivamente via API (sem UI, sem licença de portal), quero consultar as demandas abertas dentro da vigência através de um endpoint de consulta, para descobrir oportunidades de proposta no modelo pull.","Dado que sou uma facilitadora autenticada na API, Quando chamo o endpoint de consulta de demandas, Então recebo as demandas em janela aberta com seus atributos (funcionários, valor, vigência, distribuição por UF, recursos obrigatórios); Dado que uma demanda já fechou a janela, Quando consulto, Então ela não é retornada como aberta; Dado que não tenho credencial válida, Quando chamo o endpoint, Então recebo erro de autenticação; Dado que a Fase 1 é pull, Quando não consulto, Então não recebo nenhuma notificação ativa (push é roadmap futuro)",High,[KB: salesforce-revenue-cloud-marketplace-arch.md:36-38] MuleSoft API-led; descoberta de demanda via pull (E05) [Assumed],Endpoint exposto/orquestrado por MuleSoft (E05); notificação push fica fora da Fase 1.,Assumed
US-0208,E02,Marketplace de Cotação e Contratação,Facilitadora [via API],"Como Facilitadora, quero submeter uma proposta como Quote nativa exclusivamente via API informando o ID da cotação/oportunidade aberta, para responder ao leilão sem acessar a plataforma.","Dado que consulto uma demanda aberta, Quando submeto uma Quote via API informando o ID da cotação e minha proposta comercial (taxa, cobertura por UF, atendimento de recursos), Então uma Quote nativa é criada relacionada à Opportunity da demanda; Dado que envio proposta para uma cotação com janela fechada, Quando a API valida, Então a submissão é rejeitada com erro de vigência encerrada; Dado que envio proposta para um ID inexistente, Quando a API valida, Então recebo erro de referência inválida; Dado que N facilitadoras submetem, Quando consulto a demanda, Então existem N Quotes vinculadas a uma cotação",High,[KB: salesforce-revenue-cloud-marketplace-arch.md:26-30] relação 1-cotação-para-N-propostas; Quote invertida buyer-initiated [Assumed],Quote nativa reaproveitada como proposta da facilitadora; submissão apenas via API por ADR 0004.,Assumed
US-0209,E02,Marketplace de Cotação e Contratação,Facilitadora [via API],"Como Facilitadora, quero que a plataforma me impeça de ver propostas concorrentes, para que a equidade do leilão seja garantida por construção.","Dado que só tenho acesso via API e não possuo UI nem licença de portal, Quando consulto uma demanda, Então nenhum dado de propostas de outras facilitadoras é retornado; Dado que submeto minha proposta, Quando consulto seu status, Então vejo apenas a minha própria Quote; Dado o modelo sem UI para facilitadora, Quando o sistema é auditado, Então não há necessidade de Apex managed sharing para ocultar concorrentes",High,ADR 0004 (equidade por construção — facilitadora sem UI) [Assumed],Ausência de UI para facilitadora elimina necessidade de sharing customizado; escopo da API restringe payload por facilitadora.,Assumed
US-0210,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero uma tela Comparar Propostas (LWC) que exiba lado a lado as propostas recebidas conforme chegam, para avaliar taxas, cobertura e atendimento de recursos.","Dado que minha demanda está Aguardando Propostas, Quando facilitadoras submetem Quotes, Então a tela de comparação exibe cada proposta lado a lado com seus atributos-chave; Dado que uma proposta não atende um recurso obrigatório, Quando comparo, Então o não-atendimento é destacado visualmente; Dado que novas propostas chegam durante a janela, Quando reabro a tela, Então elas aparecem na comparação; Dado que ordeno por taxa, Quando aplico a ordenação, Então as propostas são reordenadas",High,[KB: salesforce-revenue-cloud-marketplace-arch.md:41-42] núcleo de comparação é custom; prototipo-figma tela 4 (ação Comparar Propostas) [Assumed — tela de comparação não capturável no proto],Comparação implementada como LWC custom sobre Quotes nativas.,Assumed
US-0211,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero que o botão de seleção da proposta vencedora fique travado até o fechamento da janela de vigência, para garantir isonomia entre as facilitadoras.","Dado que a janela de propostas ainda está aberta, Quando acesso a tela Comparar Propostas, Então a ação de selecionar/contratar está desabilitada com aviso de que a seleção abre no fechamento; Dado que a janela fecha, Quando retorno à tela, Então a seleção manual é habilitada; Dado que tento forçar a seleção via URL/manipulação antes do fechamento, Quando o sistema valida o estado da janela, Então a operação é bloqueada no servidor",High,ADR 0004 (trava de seleção até fechamento — camada custom fina) [Assumed],Trava validada server-side (não apenas na UI) pela máquina de estados da janela.,Assumed
US-0212,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero selecionar manualmente a proposta vencedora após o fechamento da janela, para escolher a facilitadora que melhor atende minha demanda.","Dado que a janela fechou e há propostas válidas, Quando seleciono uma proposta, Então a cotação transiciona para Contratada e as demais propostas passam a Não Selecionada; Dado que seleciono, Quando confirmo, Então o processo de firmar contrato é iniciado para a facilitadora vencedora; Dado que não seleciono nenhuma até um prazo, Quando o prazo expira, Então a cotação pode ser marcada como Concluída sem contrato",High,prototipo-figma tela 4 (chips Contratada / Concluída sem contrato) + ADR 0004 (seleção manual) [Confirmed — estados no proto],Seleção é manual (não automática por menor taxa) na Fase 1.,Assumed
US-0213,E02,Marketplace de Cotação e Contratação,Admin plataforma,"Como Admin da plataforma, quero uma máquina de estados que governe a demanda de Nova até Contratada/Concluída sem contrato/Cancelada, para que o ciclo de vida do leilão seja consistente e auditável.","Dado o ciclo Nova → Aguardando Propostas → (fechamento) → Contratada | Concluída sem contrato | Cancelada, Quando um evento válido ocorre, Então o estado transiciona apenas conforme as transições permitidas; Dado uma transição inválida (ex.: Cancelada → Contratada), Quando é tentada, Então é rejeitada; Dado que uma transição ocorre, Quando consulto o histórico, Então a mudança de estado fica registrada com data/hora e ator",High,prototipo-figma (máquina de estados inferida) + ADR 0004 (máquina de estados da janela) [Confirmed — chips de status no proto],Estados implementados via picklist + Flow/validações; trilha de auditoria via field history.,Assumed
US-0214,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero consultar a lista Minhas Cotações com filtros por número, status, data e prazo, para acompanhar o andamento das solicitações enviadas às facilitadoras.","Dado que tenho cotações, Quando acesso Minhas Cotações, Então vejo colunas Número, Data, Empresa, Status, Prazo e Ações com paginação; Dado que aplico filtros por número/status/data, Quando clico em Consultar, Então a lista é filtrada; Dado que uma cotação está Aguardando Propostas, Quando visualizo, Então o Prazo mostra a contagem regressiva; Dado que clico em uma ação (visualizar, contrato, comparar propostas), Quando disponível para o status, Então sou levada à tela correspondente",Medium,"prototipo-figma tela 4 (Minhas Cotações, filtros, chips de status) [Confirmed]",Lista implementada em Experience Cloud sobre objetos nativos.,Confirmed
US-0215,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero cancelar uma demanda antes do fechamento da janela, para encerrar solicitações criadas por engano ou que não sejam mais necessárias.","Dado que uma demanda está Aguardando Propostas, Quando solicito o cancelamento, Então a cotação transiciona para Cancelada; Dado que a cotação foi cancelada, Quando facilitadoras consultam o endpoint, Então ela não aparece como aberta; Dado que uma cotação já está Contratada, Quando tento cancelar, Então a operação é bloqueada",Low,prototipo-figma tela 4 (chip Cancelada) [Assumed],Regras de quem pode cancelar e janela de cancelamento a validar com cliente.,Assumed
US-0216,E02,Marketplace de Cotação e Contratação,Facilitadora [via API],"Como Facilitadora, após ser selecionada, quero fazer upload de um contrato em PDF imutável com metadados via API, para firmar a contratação sem um módulo de gestão de ciclo de vida de contrato (sem CLM na Fase 1).","Dado que fui selecionada em uma cotação, Quando envio o PDF do contrato + metadados (vigência, valor mensal, partes) via API, Então um registro de Contrato é criado ligando Facilitadora ↔ Beneficiária com o PDF anexado imutável; Dado que o PDF é anexado, Quando alguém tenta editá-lo, Então o arquivo é somente-leitura (imutável); Dado que envio sem os metadados obrigatórios, Quando a API valida, Então a submissão é rejeitada",High,"[KB: salesforce-revenue-cloud-marketplace-arch.md:43] CLM não usado na Fase 1; ADR 0004 (contrato via upload PDF, sem CLM) [Assumed]","Contrato como objeto nativo/custom com ContentDocument imutável; nenhuma funcionalidade de CLM (redlining, cláusulas, e-signature) na Fase 1.",Assumed
US-0217,E02,Marketplace de Cotação e Contratação,Facilitadora [via API],"Como Facilitadora, quero registrar aditivos e renovações como novas versões do contrato, para manter o histórico contratual sem CLM.","Dado um contrato firmado, Quando envio um aditivo/renovação via API, Então uma nova versão do contrato é criada preservando as versões anteriores; Dado que múltiplas versões existem, Quando a beneficiária consulta o contrato, Então vê a versão vigente e o histórico de versões; Dado que uma versão é a mais recente, Quando o sistema determina a vigência, Então a versão corrente é a de referência",Medium,ADR 0004 (aditivos/renovações como nova versão) [Assumed],Versionamento via objeto de versões relacionado ao contrato; sem workflow de aprovação de CLM.,Assumed
US-0218,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, após o contrato firmado, quero dar o termo de aceite classificando o nº de trabalhadores acima e abaixo de 5 salários mínimos por CNPJ, para atender à regra fiscal do PAT.","Dado que um contrato foi firmado, Quando acesso o termo de aceite, Então informo, por CNPJ, a quantidade de trabalhadores acima e abaixo de 5 salários mínimos; Dado que a soma das faixas não bate com o nº de trabalhadores do CNPJ, Quando submeto, Então recebo aviso de inconsistência; Dado que o termo é dado como Fase 1-required, Quando concluo, Então o contrato só é considerado apto quando o termo está preenchido",High,"ADR 0004 (termo de aceite Fase 1-required, faixa 5 SM); discovery (regra fiscal PAT) [Assumed]",Faixa de 5 salários mínimos reflete regra do teto fiscal; valor do SM parametrizável.,Assumed
US-0219,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária, quero informar no termo de aceite a distribuição matriz/filial dos trabalhadores por CNPJ, para que a adesão reflita corretamente a estrutura societária.","Dado que preencho o termo de aceite, Quando informo a distribuição matriz/filial por CNPJ, Então os dados são registrados vinculados ao contrato; Dado que a matriz adere, Quando confirmo, Então todas as filiais entram automaticamente na adesão; Dado que a estrutura matriz/filial é conhecida, Quando visualizo o termo, Então vejo a lista de CNPJs abrangidos",High,"ADR 0004 (matriz/filial: ao aderir, todas as filiais entram; distribuição no termo) [Assumed]",Estrutura matriz/filial obtida via Novo PAT/INIS PJ (E05); todas as filiais aderem em bloco.,Assumed
US-0220,E02,Marketplace de Cotação e Contratação,Admin plataforma,"Como Admin da plataforma, quero que o termo de aceite finalizado seja integrado ao Novo PAT via INIS PJ, para registrar oficialmente a adesão da beneficiária.","Dado um termo de aceite concluído, Quando o sistema o processa, Então os dados são enviados ao Novo PAT via INIS PJ (E05/MuleSoft); Dado que a integração retorna sucesso, Quando consulto o termo, Então seu status reflete confirmação no Novo PAT; Dado que a integração falha, Quando ocorre erro, Então o termo permanece pendente e o erro é registrado para reprocessamento",High,"ADR 0004 (termo integrado ao Novo PAT via INIS PJ, E05); discovery (integração Novo PAT alto risco) [Assumed]",Integração INIS PJ entregue por E05; mocks usados enquanto API real não está disponível.,Assumed
US-0221,E02,Marketplace de Cotação e Contratação,Admin plataforma,"Como Admin da plataforma, quero validar a situação regular de beneficiária e facilitadora contra o Novo PAT antes de permitir cotação/proposta, para garantir que apenas participantes regulares operem no marketplace.","Dado que uma beneficiária tenta publicar uma demanda, Quando o sistema valida sua situação no Novo PAT, Então a publicação só prossegue se a situação for regular; Dado que uma facilitadora submete proposta via API, Quando o sistema valida seu credenciamento no Novo PAT, Então propostas de facilitadoras irregulares são rejeitadas; Dado que a validação está indisponível, Quando ocorre timeout, Então o comportamento de fallback (bloquear/permitir com flag) segue a regra definida",High,discovery (marketplace integra ao Novo PAT para validar situação regular) [Assumed],Validação via E05; regra de fallback em indisponibilidade a confirmar com cliente.,Assumed
US-0222,E02,Marketplace de Cotação e Contratação,Beneficiária,"Como Beneficiária PAT, quero que o cálculo do benefício respeite o teto de taxa de 3,6% e o benefício fiscal aplicável, para permanecer em conformidade com a reforma do PAT.","Dado que sou uma beneficiária enquadrada no PAT, Quando propostas são recebidas, Então a taxa considerada respeita o teto de 3,6%; Dado que uma proposta excede o teto de 3,6%, Quando é comparada, Então é sinalizada como fora da regra; Dado o enquadramento PAT, Quando o benefício é calculado, Então a regra de benefício fiscal do PAT é aplicada",High,"discovery (reforma nov/2025: taxa máxima 3,6%; PAT sob teto) [Confirmed — contexto regulatório]",Percentual de teto parametrizável; regras fiscais detalhadas a validar com MTE.,Assumed
