Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Category,Analysis & Design,~30-60%,~12-24%,"Write User Stories & Epics (drafting only); Generation of Analysis Models | epics: E02, E04, E06, E08",,[2]; [11],"Einstein Bot dialog drafting (4 flows IPTU/TMRSU/ISS/Cadastral) and Journey Builder (1 jornada proativa IPTU vencido régua D-15, D-5, D+1) benefit from drafting compression ~40% task-level per [2][11]. BUT: stakeholder refinement (SEFIN-CE, DATAPREV CTID approval cycles) stays human-bound and often dominates total time — 17 client questions (Q-01 to Q-17), ISS flow ambiguity (Q-04/Q-05 decision), Bot Maintainer permissions (Q-15 validation). Drafting yes, decision no."
Category,Documentation & Knowledge Management,~45-70%,~18-28%,"Generate Documents; Knowledge Transfer | epics: E01, E04, E05, E06, E08",,[2]; [7]; [11],"UX Research E05 is the highest-reliability win — persona docs (12 interviews → 2 PDF PT-BR), usability findings report (~5-10 pages), accessibility report (~10-15 pages WCAG adapted) all leverage drafting compression ~35% task-level per [2][7][11]. LGPD compliance docs (security baseline, consent disclosures, data retention policy) and HSM templates (3-5 templates Meta approval) also benefit from document generation. Meeting operations (Generate Meeting Notes ~65% task-level [7][11]) not applicable this engagement — no dedicated meeting-recording/summarization role in resource-plan.json."
Category,Project Management & Operations,~15-30%,~6-12%,"Project Status Reports; Coordination Meeting Time; Search & Info Retrieval | epics: E01, E02, E03, E04, E05, E06, E08",,[1]; [5]; [7]; [11],"Lowest-performing category — Project Status Reports drafting ~30% task-level, but the coordination core (Phase 0 gap resolution 133 gaps + 17 client questions, Meta approval 2-8w critical path G0103, stakeholder alignment Alex Siqueira + Oswaldo Melo + SEFIN-CE + DATAPREV CTID) remains human per [1][5]. Government approval cycles (SEFIN-CE slow responsiveness, DATAPREV CTID sign-off) are not AI-compressible — stakeholder alignment, conflict resolution, approval gates stay ~0% per benchmarks."
Role Type,Technical Architect,~35-58%,~14-23%,Generation of Analysis Models; Analyze Code; Visual Design Brainstorm (adaptado conversational UI),"Phase 0 gap resolution orchestration (133 gaps, 17 Qs, 2 API specs BLOCKER); Hyperforce Brazil vs US-East decisão (P-22 legal validation); TDE vs Shield legal interpretation (G0611 SEFIN-CE DPO); Stakeholder alignment (SEFIN-CE + DATAPREV CTID + Meta)",[2]; [4],"Architect drafts solution design docs (LGPD compliance baseline, integration pattern Flow Orchestration + Apex + 4 APIs, Einstein Bot NLU architecture) ~30% faster task-level per [2], but government client decision gates (SEFIN-CE gap responses, DATAPREV CTID sign-off, Meta approval 2-8w) stay human-bound — realized gain ~18% after review cycles and stakeholder coordination overhead."
Role Type,Technical Consultant,~20-45%,~8-18%,Create Code (realistic enterprise); Analyze Code & Fix Defects; Generate Test Data; Write Test Classes,API specs pending (G0301/G0302 BLOCKER); NLU training data ownership (G0202); Stakeholder alignment (LGPD compliance review SEFIN-CE DPO),[1]; [3]; [4]; [8],"Developer drafts Apex REST callouts (~20% task-level realistic enterprise per [1][4]) and Einstein Bot validators (~25% task-level), but LGPD compliance review burden (CPF/CNPJ sensitive data Art. 11) + API specs pending (G0301/G0302) + connectivity validation (ping/curl test) raise the AI tax — code cloning 8.3% → 12.3% per [8], more review cycles pre-prod. Test data generation (NLU utterances, mock APIs) gains ~35% task-level per [3][11], but NLU ownership undefined (G0202) requires human coordination with SEFIN-CE. Realized gain ~13% after review + coordination overhead."
Role Type,Experience Architect,~45-70%,~18-28%,Generate Documents; Visual Design Brainstorm (adaptado conversational UI flow refinement),UX research execution ownership ambiguity (G0501); LGPD consent forms (G0514); Accessibility testing with PcD (G0509),[2]; [7]; [11],"Highest reliability role on this engagement — UX Researcher drafts persona docs, usability findings, accessibility reports ~35% faster task-level per [2][7][11] (documentation category most reliable). BUT: conducting interviews (12 remote Zoom sessions), facilitating usability testing (15 sessions 3 fluxos × 5 usuários), and expert accessibility review (WCAG heuristic evaluation) stay human — AI drafts the artifacts, human conducts the research. Realized gain ~23% after research execution stays human-bound."
Role Type,Project Manager,~15-30%,~6-12%,Project Status Reports; Search & Info Retrieval,"Phase 0 gap resolution coordination (133 gaps, 17 Qs, 2 API specs BLOCKER); Phase 1 Meta approval critical path orchestration (G0103 2-8w); Stakeholder alignment (Alex Siqueira + Oswaldo Melo + SEFIN-CE + DATAPREV CTID); Conflict resolution (ISS flow Q-04/Q-05, Bot Maintainer Q-15, TDE vs Shield G0611); Coordination Meeting Time (SEFIN-CE slow government response cycles)",[1]; [5]; [7]; [11],"PM drafts status reports ~30% faster task-level per [7][11], but coordination core stays human — Phase 0 gap resolution (133 gaps, 17 Qs), Meta approval negotiation (2-8w), SEFIN-CE stakeholder alignment (slow government response cycles), DATAPREV CTID sign-off gates are not AI-compressible per [1][5]. Realized gain ~9% after coordination overhead dominates."
Human Barrier,Project Pulse Reports,,~0%,,Trust-building work that AI can summarize but not facilitate.,,
Human Barrier,Stakeholder Alignment,,~0%,,"Human-to-human negotiation; AI drafts positions, people decide. Phase 0 gap resolution (17 client questions Q-01 to Q-17), ISS flow decisão (Q-04/Q-05), Bot Maintainer permissions (Q-15), Hyperforce Brazil vs US-East (P-22), TDE vs Shield (G0611) — SEFIN-CE + DATAPREV CTID + Meta approval cycles stay human-bound.",,
Human Barrier,Conflict Resolution,,~0%,,"Human judgment. ISS flow ambiguity (Q-04/Q-05 — link only or upgrade to DAM emission?), Bot Maintainer profile scope (Q-15 — Einstein Bot + conversation review or broader access?), TDE vs Shield legal interpretation (G0611 — SEFIN-CE DPO decides), LGPD consent for proactive marketing (G0809 — legitimate public interest or opt-in required?) — AI provides compliance analysis, legal/stakeholders decide.",,
Human Barrier,Phase 0 Gap Resolution,,~0%,,"AI drafts the 133 gaps + 17 client questions list (Q-01 to Q-17), but SEFIN-CE stakeholders provide the answers — human negotiation on API specs (G0301/G0302 BLOCKER), ISS flow decisão (Q-04/Q-05), Bot Maintainer permissions (Q-15), Hyperforce Brazil (P-22), TDE vs Shield (G0611). SEFIN-CE response time (target <3 semanas) is human-bound, not AI-compressible.",,
Human Barrier,Meta WhatsApp Business Approval,,~0%,,"Phase 1 critical path (G0103 2-8 weeks timeline) — human approval from Meta WhatsApp Business team, not automated. AI drafts the approval request docs (domínio personalizado, business verification, use case description), Meta human reviewers decide. Timeline variability (2-8w) is external approval cycle, not PS delivery.",,
Human Barrier,LGPD Legal Interpretation,,~0%,,"TDE vs Shield for Art. 11 CPF/CNPJ sensitive data (G0611), LGPD consent for proactive marketing (G0809 — tax payment reminders = legitimate public interest Art. 7, IX?), data retention policy 90-day vs 12-month (G0610 Art. 15 minimization) — SEFIN-CE DPO + DATAPREV legal decide, AI provides compliance analysis only. Legal interpretation is human judgment, not AI-replaceable.",,
