Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Category,Documentation & Knowledge Management,~35-50%,~14-23%,"Draft Documentation; Summarize Decisions | epics: E04, E10",,[2]; [7],"RAG corpus curation (E04 — Portal Conexão normativas indexing + Slack AI channel recaps federation) + training materials by persona (E10 — B2B clients J1, executivos J5, comercial J4/J6, N1/N2 J2/J3, Pessoas J7) + compliance audit trail docs (LGPD/TCU rastreabilidade every API call + Protheus perfil de acesso governance). AI drafts training modules + normativa summaries + audit trail templates [2][7], but compliance-sensitive content (alçadas 2 milhões de reais, perfil de acesso governance model) requires Jurídico/DPO human review every iteration — regulatory conservatism caps velocity. TCU audit trail design (every API call logged with user ID + timestamp + query/mutation) benefits from AI-generated templates but final approval human-gated."
Category,Project Management & Operations,~15-25%,~6-11%,Status Reports; Project Pulse Reports | epics: E10,,[2],"Change management execution (E10 — early adopters program 20-50 pilot users F1, executive mandate Saulo adoption KPIs >60% uso semanal F2, adoption monitoring dashboard CRM Analytics). AI drafts status summaries + adoption dashboards [2], but stakeholder alignment (Saulo executive sponsor + TI+Jurídico+DPO tri-party Protheus governance blocker G1002) + conflict resolution (multi-team ownership RACI G9901/G1001) stay human-only. Phase sequencing (F0 blocker resolution → F1 → F2 adoption gate → F3) benefits modestly from AI risk flagging but dependency tracking (G1002 Protheus governance blocker mandatory before F1) is human-driven."
Role Type,Senior Technical Architect,~30-40%,~12-18%,API design (MuleSoft 7-system System APIs + Agentforce MCP federation); Security architecture (LGPD Art. 48 + TCU audit trail + Slack EKM); Integration patterns (API-led connectivity System + Process + Experience),Protheus governance blocker resolution (G1002 — TI+Jurídico+DPO tri-party negotiation); Org strategy decision (single org vs multi-org — no regulatory isolation signal in discovery),[1]; [3],"API design gains: AI drafts MuleSoft System API skeletons + Swagger/OpenAPI specs from legacy system discovery [3], but Clarity API unknown (G0801 — no KB coverage) + Protheus governance blocker (G1002 — perfil de acesso model TI+Jurídico+DPO approval) require human validation. Security architecture (LGPD/TCU audit trail every API call + Slack EKM AWS KMS instant revocation) AI-drafts baseline but compliance review human-gated. CoE governance (multi-team ownership RACI G9901/G1001/G1003) stays negotiation-heavy — AI summarizes options, people decide."
Role Type,Agentforce Technical Consultant,~30-40%,~12-18%,Conversational intent design (10 jornadas J1-J10 — voice/text field mapping); Agent scaffolding (Agentforce Atlas Reasoning Engine orchestration); Confidence tuning (F1 early adopters feedback iteration),"Experience Design gap (G0104/G0402/G0505 — 10k+ users onboarding, no UX research scoped); Agentforce prompt governance (G1001 — who owns prompt iteration? multi-team RACI)",[2]; [4],"Intent design acceleration: AI drafts conversational field mappings from API specs (Protheus financials, Pronto ticket creation, CRM Totvs pipeline updates) [2][4], but Experience Design gap (no usability testing with pilot users F1 J1/J2) caps flow quality without iteration feedback. Agentforce proactive activation (J9 SLA breach alerts + J10 pipeline recommendations F3) benefits from AI-generated segmentation logic drafts, but Data Cloud ingestion architecture (Pronto + CRM Totvs CDC validation) human-validated. 10 jornadas (5 read-only F1, 2 writes F2, 2 proactive F3 + 1 scheduling F1) — AI scaffolds agents faster but governance model (who approves prompt changes? G1001) unresolved slows iteration."
Role Type,MuleSoft Technical Architect,~25-35%,~10-16%,API-led connectivity pattern design (System + Process + Experience layers); Capacity planning (volumetrias audit + rate limiting design); Rastreabilidade LGPD/TCU (every API call logging architecture),"Volumetrias unknown (G0102/G0201/G0302/G0701 — capacity planning blocked until Phase 0 audit); Clarity API compatibility validation (G0801 — external dependency risk, no KB coverage)",[1]; [3],"API architecture gains: AI drafts System API layer specs + rastreabilidade logging patterns [1][3], but volumetrias unknown (4 gaps G0102/G0201/G0302/G0701) blocks capacity planning until Phase 0 audit — AI can't invent load profiles. Clarity API unknown (G0801 — Broadcom API undocumented or brittle) requires TI-provided Swagger/OpenAPI specs + sandbox credentials Phase 0 discovery sprint (2 weeks) before AI-assisted connector build viable. MuleSoft/MCP dual deployment (Anypoint for legacy APIs, MCP Server for Slack federation G9902) — AI drafts architecture decision doc but protocol choice human-validated per Salesforce best practices."
Role Type,Data Cloud Technical Architect,~30-40%,~12-18%,"Unified data model design (Contact B2B/employee reconciliation, Case/Ticket/Opportunity history); Streaming architecture (Pronto ServiceNow + CRM Totvs CDC ingestion); Predictive segmentation (SLA breach cohort, churn-risk cohort)","Historical data load sizing decision (if >500k records, performance/cost implications — volumetrias unknown G0701); Einstein Discovery ML-based vs rule-based decisioning (business rule complexity unknown)",[2]; [5],"Data model gains: AI drafts Contact B2B + employee unification schema + Case/Ticket Pronto 4+ related objects reconciliation [2], but 7-system fragmentation (no unified model today) + volumetrias unknown (G0701) makes historical load sizing guesswork without Phase 0 audit. Data Cloud streaming architecture (Pronto + CRM Totvs CDC ingestion G0901) AI-drafts event-driven pattern but validation blocked until TI provides API specs + data model mappings. Predictive segmentation (J9 SLA breach alerts + J10 pipeline recommendations F3) — AI scaffolds Einstein Discovery models but business rule complexity (what defines churn-risk cohort?) human-defined. First-time Dataprev production Data Cloud deployment may require Salesforce vendor support F3 (limited precedent)."
Role Type,Solution Architect,~25-35%,~10-16%,Service Cloud configuration + implementation; Slack Workspace architecture decision (G0101 — single vs dual workspace); Cross-cloud orchestration (Service Cloud + Agentforce + MuleSoft + Data Cloud),"Workspace Slack segregation decision (G0101 — B2B vs internos, Jurídico approval unknown); Clarity migration strategy (G0801 — co-living vs Service Cloud replacement, hard-to-reverse decision deferred F2)",[2],"Config gains: AI drafts Service Cloud Flow orchestration + Slack Canvas UX mockups (J1/J2/J5/J7/J8) [2], but Workspace Slack segregation (G0101 — single recommended, dual if Jurídico requires) unresolved blocks Slack admin setup. Clarity migration strategy (G0801 — co-living API writes vs. Service Cloud full replacement, 4.5k active demands migrate) hard-to-reverse decision deferred F2 architecture gate after F1 adoption validated — AI drafts both paths but choice human-gated. Slack Canvas UX design (conversational flow + help content) benefits from AI-generated mockups but Experience Design gap (G0104/G0402/G0505 — no usability testing scoped) caps quality without pilot feedback F1."
Role Type,Solution Consultant,~30-40%,~12-18%,"Business analysis (20-phase-0-gap resolution, user stories per persona); Training materials by persona (B2B/executivos/N1-N2/Pessoas); Adoption monitoring dashboard setup (CRM Analytics uso semanal %)","RACI + CoE charter facilitation (G9901/G1001 — multi-team ownership decision rights, data stewardship); Executive mandate enforcement (Saulo adoption KPIs >60% uso semanal F2 — dashboard monitored weekly, non-adopters escalated)",[2]; [7],"BA gains: AI drafts user stories per persona + training module outlines [2][7], but 68 gaps (many Unknowns/Assumed) + governance gap (G9901/G1001/G1003 — multi-team ownership RACI unresolved) force iteration. Training materials (Trailhead modules + video library + Slack Canvas help content) AI-generated but persona-specific content (B2B clients J1, executivos J5, comercial J4/J6, N1/N2 J2/J3, Pessoas J7) requires CM Lead human validation per client culture. Adoption monitoring dashboard (CRM Analytics: uso semanal %, agent adoption by persona, API call volume/error rate, audit log compliance metrics) AI-drafts baseline but executive mandate (Saulo enforces >60% target F2) + non-adopter escalation workflow human-driven."
Role Type,Quality Assurance Consultant,~30-45%,~12-20%,Test data synthesis (7-system integration testing); Test case generation (unit testing MuleSoft API connectors + Agentforce intent parsing); Performance testing (F1 MuleSoft API rate limits + F3 Data Cloud streaming throughput),Security testing (LGPD/TCU audit trail verification — every API call logged correctly); UAT per phase F1/F2/F3 scale validation (pilot users → early adopters → full scale),[3]; [5],"Test generation gains: AI synthesizes test data for 7-system integration (Pronto, Clarity, Protheus, CRM Totvs, Conexão, Teams, SEI) + generates unit test cases for MuleSoft API connectors [3][5], but multi-system regression testing (F2/F3 scale — ensure F1 read-only jornadas remain operational when F2 writes enabled) stays human-orchestrated. Security testing (LGPD/TCU audit trail verification + Slack EKM instant revocation tested) human-led — compliance context requires Jurídico/DPO review every audit log validation. Performance testing (F1 MuleSoft API rate limits validated against volumetrias + F3 Data Cloud streaming throughput) blocked until volumetrias audit complete (G0102/G0201/G0302/G0701 Phase 0) — AI generates load test scripts but capacity targets human-defined post-audit."
Role Type,UX Researcher,~20-30%,~8-14%,Conversational flow iteration (Agentforce voice/text + Slack Canvas UX); Usability testing synthesis (J1/J2 pilot feedback 20-50 early adopters F1),Service design for 10k+ external users onboarding (Experience Design gap G0104/G0402/G0505 — no UX research scoped initially); Accessibility compliance validation (LGPD + federal gov standards),[2],"Flow iteration gains: AI drafts conversational flow variants + Slack Canvas UX mockups from pilot feedback [2], but Experience Design gap (G0104/G0402/G0505 — 10k+ external users onboarding, no UX research scoped) means no usability testing baseline F1 unless added. Service design for J3 (Abertura Chamados Assistida) + J4 (Adoção CRM Conversacional) human-led — AI generates flow options but user research (what questions do 10k+ B2B clients ask? what language do they use?) not automatable. Accessibility compliance (LGPD + federal gov standards) human-validated — AI flags WCAG gaps but Jurídico approval required."
Role Type,Change Management Lead,~15-25%,~6-11%,Training delivery materials by persona; Adoption monitoring dashboard (CRM Analytics uso semanal %),"Early adopters program facilitation (20-50 pilot users F1 — champions identified, trained first); Executive mandate support (Saulo enforces adoption KPIs >60% uso semanal F2 — non-adopters escalated)",[2],"CM gains: AI drafts training materials + adoption dashboard templates [2], but early adopters program (20-50 pilot users F1 — who are the champions? how to incentivize?) human-facilitated. Executive mandate (Saulo enforces >60% uso semanal target F2) + non-adopter escalation workflow human-driven — AI flags low-adoption cohorts but executive relationship management not automatable. Training by persona (B2B clients J1, executivos J5, comercial J4/J6, N1/N2 J2/J3, Pessoas J7) AI-generated but persona-specific delivery (what resonates with federal gov B2B clients vs. internal comercial?) requires CM Lead human judgment per client culture."
Human Barrier,Protheus Governance Blocker Resolution (G1002),,~0%,,TI+Jurídico+DPO tri-party meeting negotiation (perfil de acesso model approval) — legal/political alignment across three internal stakeholders. AI can draft governance models but cannot negotiate tri-party sign-off.,,
Human Barrier,Workspace Slack Segregation Decision (G0101),,~0%,,Jurídico approval unknown (B2B vs internos workspace segregation) — legal interpretation of data isolation requirements. AI can draft both options but Jurídico approval human-gated.,,
Human Barrier,Clarity Migration Strategy (G0801),,~0%,,"Hard-to-reverse decision (co-living vs Service Cloud replacement, 4.5k active demands migrate) deferred F2 architecture gate — business risk assessment + vendor relationship implications (Broadcom Clarity co-living governance). AI drafts both paths but choice human-gated.",,
Human Barrier,Experience Design for 10k+ Users (G0104/G0402/G0505),,~0%,,User research (what questions do 10k+ B2B clients ask? what language?) + service design (onboarding flow for federal gov users) — human empathy + domain context. AI generates flow variants but pilot feedback interpretation not automatable.,,
Human Barrier,RACI + CoE Charter Facilitation (G9901/G1001/G1003),,~0%,,"Multi-team ownership decision rights (Agentforce config, MuleSoft APIs, Slack admin), data stewardship (CRM Totvs vs Salesforce truth?), CoE structure — political alignment across internal stakeholders. AI drafts RACI templates but stakeholder negotiation human-driven.",,
Human Barrier,Executive Mandate Enforcement (Saulo >60% Adoption KPIs),,~0%,,"Executive relationship management (Saulo enforces adoption, non-adopters escalated) — trust-building + influence. AI flags low-adoption cohorts but executive persuasion not automatable.",,
Human Barrier,Project Pulse Reports,,~0%,,Trust-building work that AI can summarize but not facilitate — stakeholder pulse (Saulo satisfied? TI/Jurídico/DPO aligned?) requires human judgment.,,
Human Barrier,Stakeholder Alignment,,~0%,,"Human-to-human negotiation across TI+Jurídico+DPO tri-party + executive sponsor Saulo — AI drafts positions, people decide.",,
Human Barrier,Conflict Resolution,,~0%,,Human judgment — multi-team ownership RACI conflicts (who owns Agentforce prompt changes? G1001) require negotiation.,,
